year,agegroup,sex,race3,educ,deaths,pop,mortality_rate
2006,70-74,1,2,1,671.42906921034,742908.399439541,0.000903784463490888
2006,70-74,1,2,2,55.5769028205427,87862.5582719938,0.000632543644455409
2006,70-74,2,1,1,214.163543345714,706515.233300715,0.000303126575693464
2006,70-74,2,1,2,7.38494977054188,10452.0462152713,0.000706555407280144
2006,70-74,2,2,1,352.239053791458,1034835.51066883,0.000340381684006765
2006,70-74,2,2,2,24.6105889111936,66959.2098151803,0.000367545987760658
2006,75-79,1,1,1,382.201700944486,408343.957091889,0.000935979813847177
2006,75-79,1,1,2,7.43583075767483,6855.2388141471,0.00108469317543388
2006,75-79,1,2,1,683.961676211582,526196.791342672,0.00129982106973011
2006,75-79,1,2,2,53.9552134366445,52003.0127512917,0.00103754014588904
2006,75-79,2,1,1,211.018756378557,492160.660121899,0.000428759901952121
2006,75-79,2,1,2,4.48976077401184,4780.79779705,0.000939123753943799
2006,75-79,2,2,1,429.507457361477,800211.337006068,0.000536742529752762
2006,75-79,2,2,2,13.4221080425461,40489.2050749834,0.000331498433167291
2006,80+,1,1,1,413.513015685338,388893.512088577,0.0010633065423605
2006,80+,1,1,2,7.9521733785642,4717.81494717241,0.00168556280134096
2006,80+,1,2,1,780.822263692813,491761.126742522,0.00158780802554497
2006,80+,1,2,2,51.3289535893682,43073.5462217286,0.00119165840966851
2006,80+,2,1,1,324.29410831487,525196.091105195,0.000617472433262866
2006,80+,2,1,2,8.88477009081837,3309.76970995505,0.00268440733628534
2006,80+,2,2,1,675.861548541039,871125.22284627,0.000775848903023108
2006,80+,2,2,2,30.6513173941514,32946.9163385806,0.000930324315610045
2007,00-04,1,1,1,0,3970558.50921081,0
2007,00-04,1,1,2,0,0,0
2007,00-04,1,2,1,0,3915331.49078919,0
2007,00-04,1,2,2,0,0,0
2007,00-04,2,1,1,0,3718890.58863275,0
2007,00-04,2,1,2,0,0,0
2007,00-04,2,2,1,0,3832284.41136725,0
2007,00-04,2,2,2,0,0,0
2007,05-09,1,1,1,0,4726896.06482658,0
2007,05-09,1,1,2,0,0,0
2007,05-09,1,2,1,0,3887822.93517342,0
2007,05-09,1,2,2,0,0,0
2007,05-09,2,1,1,0,4443604.75520998,0
2007,05-09,2,1,2,0,0,0
2007,05-09,2,2,1,0,3848860.24479002,0
2007,05-09,2,2,2,0,0,0
2007,10-14,1,1,1,0,4914433.14682229,0
2007,10-14,1,1,2,0,0,0
2007,10-14,1,2,1,0,3856320.85317771,0
2007,10-14,1,2,2,0,0,0
2007,10-14,2,1,1,0,4716377.41135504,0
2007,10-14,2,1,2,0,0,0
2007,10-14,2,2,1,0,3841002.58864497,0
2007,10-14,2,2,2,0,0,0
2007,15-19,1,1,1,4.80171041691412,4809309.45309779,9.98419931955351e-07
2007,15-19,1,1,2,0,67613.231644708,0
2007,15-19,1,2,1,0.600213802114265,3717899.26921996,1.61438962879754e-07
