age,sex,race3,educ,year,pop
27,1,2,1,2000,510953.91599734
27,1,2,2,2000,94472.5749682446
27,2,0,0,2000,2243.47997143978
27,2,0,1,2000,6635.3892059415
27,2,0,2,2000,3067.64785940548
27,2,1,0,2000,143158.510567061
27,2,1,1,2000,458708.912934638
27,2,1,2,2000,28074.6424857877
27,2,2,0,2000,86433.3868487252
27,2,2,1,2000,563490.360993677
27,2,2,2,2000,123418.669133325
28,1,0,0,2000,2330.96477999177
28,1,0,1,2000,5985.69173012678
28,1,0,2,2000,2438.44717863991
28,1,1,0,2000,188675.46692034
28,1,1,1,2000,422185.228469966
28,1,1,2,2000,19987.7908894938
28,1,2,0,2000,101330.897268789
28,1,2,1,2000,512143.33890681
28,1,2,2,2000,91766.1738558436
28,2,0,0,2000,2557.59059461356
28,2,0,1,2000,5510.26834391268
28,2,0,2,2000,2694.49135699198
28,2,1,0,2000,143447.300329234
28,2,1,1,2000,441829.271401813
28,2,1,2,2000,28471.7839043126
28,2,2,0,2000,87934.420930224
28,2,2,1,2000,563284.88551555
28,2,2,2,2000,120397.987623349
29,1,0,0,2000,2678.30041785488
29,1,0,1,2000,5552.41346094674
29,1,0,2,2000,2342.74653238907
29,1,1,0,2000,179646.101468626
29,1,1,1,2000,416010.922019526
29,1,1,2,2000,21175.6675357211
29,1,2,0,2000,100997.800955272
29,1,2,1,2000,508721.716521395
29,1,2,2,2000,96315.3310882688
29,2,0,0,2000,2023.05137696449
29,2,0,1,2000,5312.48304310538
29,2,0,2,2000,2802.24633716581
29,2,1,0,2000,145554.317367188
29,2,1,1,2000,431063.003717282
29,2,1,2,2000,28020.3212120472
29,2,2,0,2000,88723.9875603327
29,2,2,1,2000,557704.391458001
29,2,2,2,2000,125367.197927913
30,1,0,0,2000,3093.1888153087
30,1,0,1,2000,5535.9993822226
30,1,0,2,2000,2414.40039572558
30,1,1,0,2000,202205.206365422
30,1,1,1,2000,401005.824071159
30,1,1,2,2000,19652.586036043
30,1,2,0,2000,108624.510276624
30,1,2,1,2000,492401.654220835
30,1,2,2,2000,87565.6304366605
30,2,0,0,2000,3296.36780573821
30,2,0,1,2000,5191.15044389829
30,2,0,2,2000,2475.14420632283
30,2,1,0,2000,160310.275488478
30,2,1,1,2000,422772.488789668
30,2,1,2,2000,26573.1587776834
30,2,2,0,2000,100735.876664059
30,2,2,1,2000,537256.73957536
30,2,2,2,2000,118998.798248792
31,1,0,0,2000,2116.86354057303
31,1,0,1,2000,6398.90629052666
31,1,0,2,2000,2716.86656929184
31,1,1,0,2000,190531.348060572
31,1,1,1,2000,390163.55015954
31,1,1,2,2000,21488.8252823649
31,1,2,0,2000,104624.746226757
31,1,2,1,2000,502109.239122252
31,1,2,2,2000,96195.6547481229
31,2,0,0,2000,2451.99524605237
31,2,0,1,2000,6428.14105808028
31,2,0,2,2000,2846.81552461526
31,2,1,0,2000,149858.737882037
31,2,1,1,2000,416591.386345742
31,2,1,2,2000,28568.9778566362
31,2,2,0,2000,97617.0260792933
31,2,2,1,2000,547428.552781682
31,2,2,2,2000,119385.367225861
32,1,0,0,2000,2315.60573103317
32,1,0,1,2000,6238.51807011212
32,1,0,2,2000,2561.55814741909
32,1,1,0,2000,194651.261631713
32,1,1,1,2000,386260.687314503
32,1,1,2,2000,19674.9512850917
32,1,2,0,2000,112258.778158337
32,1,2,1,2000,489757.171888338
32,1,2,2,2000,92851.467773453
32,2,0,0,2000,3008.5551357713
32,2,0,1,2000,5373.90086347875
32,2,0,2,2000,2463.24967490191
32,2,1,0,2000,159665.077368414
32,2,1,1,2000,400447.361185243
32,2,1,2,2000,27656.9714777657
32,2,2,0,2000,102927.358745231
32,2,2,1,2000,541588.220413629
32,2,2,2,2000,119624.305135565
33,1,0,0,2000,2629.68137566949
33,1,0,1,2000,5244.78598866822
33,1,0,2,2000,2328.18133460177
33,1,1,0,2000,196763.7578968
33,1,1,1,2000,372216.737445252
33,1,1,2,2000,22925.7208766798
33,1,2,0,2000,110344.987378395
33,1,2,1,2000,483448.152682751
33,1,2,2,2000,93915.9950211826
33,2,0,0,2000,2182.03624634856
33,2,0,1,2000,4553.85223368361
33,2,0,2,2000,2941.80915787869
33,2,1,0,2000,165794.801639132
33,2,1,1,2000,388255.033380346
33,2,1,2,2000,27937.6269089736
33,2,2,0,2000,106380.497676753
33,2,2,1,2000,530726.721767714
33,2,2,2,2000,121203.62098917
34,1,0,0,2000,2211.55018942088
34,1,0,1,2000,5664.59449249741
34,1,0,2,2000,2777.24822442566
34,1,1,0,2000,195222.580186899
34,1,1,1,2000,350948.536207162
34,1,1,2,2000,20936.5379020141
34,1,2,0,2000,112950.522463458
34,1,2,1,2000,480002.74480213
34,1,2,2,2000,97453.685531993
34,2,0,0,2000,2476.15603021939
34,2,0,1,2000,5347.92128535989
34,2,0,2,2000,2855.73659133545
34,2,1,0,2000,170306.965303005
34,2,1,1,2000,371055.15910369
34,2,1,2,2000,26277.2884870877
34,2,2,0,2000,111196.139964485
34,2,2,1,2000,522468.740691186
34,2,2,2,2000,121945.892543632
35,1,0,0,2000,2789.93567864956
35,1,0,1,2000,4855.03361704157
35,1,0,2,2000,2637.36440940309
35,1,1,0,2000,187772.940966444
35,1,1,1,2000,342253.785620698
35,1,1,2,2000,21795.8700545923
35,1,2,0,2000,110420.887426688
35,1,2,1,2000,474515.408236838
35,1,2,2,2000,100637.773989646
35,2,0,0,2000,2953.73524093884
35,2,0,1,2000,5370.63346164233
35,2,0,2,2000,2992.57438694849
35,2,1,0,2000,166286.277401512
35,2,1,1,2000,354818.908348056
35,2,1,2,2000,27553.423773702
35,2,2,0,2000,107458.439610428
35,2,2,1,2000,521793.45906543
35,2,2,2,2000,128108.548711343
36,1,0,0,2000,2546.1553377789
36,1,0,1,2000,4746.74414447859
36,1,0,2,2000,2935.71031476468
36,1,1,0,2000,194899.393916303
36,1,1,1,2000,333476.099341997
36,1,1,2,2000,21089.3690555719
36,1,2,0,2000,110267.996895548
36,1,2,1,2000,459833.76764431
36,1,2,2,2000,97726.7633492485
36,2,0,0,2000,2665.20091467403
36,2,0,1,2000,5307.56972679245
36,2,0,2,2000,2875.32344048655
36,2,1,0,2000,174235.499267663
36,2,1,1,2000,347116.129121191
36,2,1,2,2000,26200.4057681955
36,2,2,0,2000,112350.483275325
36,2,2,1,2000,504378.138623661
36,2,2,2,2000,124654.249862012
37,1,0,0,2000,2475.66018762309
37,1,0,1,2000,5142.74171450547
37,1,0,2,2000,2743.16803013343
37,1,1,0,2000,191635.894122541
37,1,1,1,2000,320881.36988163
37,1,1,2,2000,20438.4281022593
37,1,2,0,2000,108157.100510238
37,1,2,1,2000,451509.290512513
37,1,2,2,2000,101406.346938556
37,2,0,0,2000,2451.87378585847
37,2,0,1,2000,4973.78639865806
37,2,0,2,2000,2829.26374065334
37,2,1,0,2000,172900.50518011
37,2,1,1,2000,336083.602632701
37,2,1,2,2000,27039.5602157905
37,2,2,0,2000,114055.140616098
37,2,2,1,2000,496666.80391266
37,2,2,2,2000,121251.463517471
38,1,0,0,2000,2283.47548905892
38,1,0,1,2000,4865.9685747983
38,1,0,2,2000,3081.43625684857
38,1,1,0,2000,189708.883970174
38,1,1,1,2000,308262.338257272
38,1,1,2,2000,19572.3850099161
38,1,2,0,2000,109750.762468881
38,1,2,1,2000,440281.487414269
38,1,2,2,2000,99668.2625587827
38,2,0,0,2000,2701.03634683243
38,2,0,1,2000,5393.25095197435
38,2,0,2,2000,2588.06047539257
38,2,1,0,2000,169724.922488433
38,2,1,1,2000,329079.003389144
38,2,1,2,2000,24394.5833943331
38,2,2,0,2000,108626.978984942
38,2,2,1,2000,486720.52512762
38,2,2,2,2000,122003.638841329
39,1,0,0,2000,2603.09430501229
39,1,0,1,2000,5712.95055896951
39,1,0,2,2000,2279.10570081882
39,1,1,0,2000,179266.831227148
39,1,1,1,2000,299323.385070156
39,1,1,2,2000,20207.2763541874
39,1,2,0,2000,106719.950700338
39,1,2,1,2000,433367.840115786
39,1,2,2,2000,98208.5659675844
39,2,0,0,2000,2238.50324774686
39,2,0,1,2000,5615.1207102408
39,2,0,2,2000,2561.80982743527
39,2,1,0,2000,167649.613143923
39,2,1,1,2000,312211.19615029
39,2,1,2,2000,23733.3298476649
39,2,2,0,2000,111141.252082679
39,2,2,1,2000,476637.84454765
39,2,2,2,2000,118427.330442371
0,1,0,0,2001,12940.2244234143
0,1,0,1,2001,0
0,1,0,2,2001,0
0,1,1,0,2001,697205.823517914
0,1,1,1,2001,0
0,1,1,2,2001,0
0,1,2,0,2001,1006820.95205867
0,1,2,1,2001,0
0,1,2,2,2001,0
0,2,0,0,2001,11956.0841480569
0,2,0,1,2001,0
0,2,0,2,2001,0
0,2,1,0,2001,659378.799289635
0,2,1,1,2001,0
0,2,1,2,2001,0
0,2,2,0,2001,972028.116562308
0,2,2,1,2001,0
0,2,2,2,2001,0
1,1,0,0,2001,14140.0864211233
1,1,0,1,2001,0
1,1,0,2,2001,0
1,1,1,0,2001,774548.602685733
1,1,1,1,2001,0
1,1,1,2,2001,0
1,1,2,0,2001,951503.310893144
1,1,2,1,2001,0
1,1,2,2,2001,0
1,2,0,0,2001,14005.2759845066
1,2,0,1,2001,0
1,2,0,2,2001,0
1,2,1,0,2001,726349.418931735
1,2,1,1,2001,0
1,2,1,2,2001,0
1,2,2,0,2001,930951.305083759
1,2,2,1,2001,0
1,2,2,2,2001,0
2,1,0,0,2001,14947.6285586565
2,1,0,1,2001,0
2,1,0,2,2001,0
2,1,1,0,2001,841442.450714638
2,1,1,1,2001,0
2,1,1,2,2001,0
2,1,2,0,2001,922869.920726706
2,1,2,1,2001,0
2,1,2,2,2001,0
2,2,0,0,2001,14135.4505725862
2,2,0,1,2001,0
2,2,0,2,2001,0
2,2,1,0,2001,779915.682117444
2,2,1,1,2001,0
2,2,1,2,2001,0
2,2,2,0,2001,917078.86730997
2,2,2,1,2001,0
2,2,2,2,2001,0
3,1,0,0,2001,14666.360524734
3,1,0,1,2001,0
3,1,0,2,2001,0
3,1,1,0,2001,872129.534491952
3,1,1,1,2001,0
3,1,1,2,2001,0
3,1,2,0,2001,914565.104983314
3,1,2,1,2001,0
3,1,2,2,2001,0
3,2,0,0,2001,13721.9464863449
3,2,0,1,2001,0
3,2,0,2,2001,0
3,2,1,0,2001,808724.140640856
3,2,1,1,2001,0
3,2,1,2,2001,0
3,2,2,0,2001,913712.9128728
3,2,2,1,2001,0
3,2,2,2,2001,0
4,1,0,0,2001,14468.7575394715
4,1,0,1,2001,0
4,1,0,2,2001,0
4,1,1,0,2001,881489.560482498
4,1,1,1,2001,0
4,1,1,2,2001,0
4,1,2,0,2001,901249.681978031
4,1,2,1,2001,0
4,1,2,2,2001,0
4,2,0,0,2001,14949.2839761974
4,2,0,1,2001,0
4,2,0,2,2001,0
4,2,1,0,2001,815852.096373252
4,2,1,1,2001,0
4,2,1,2,2001,0
4,2,2,0,2001,907294.619650551
4,2,2,1,2001,0
4,2,2,2,2001,0
5,1,0,0,2001,15129.1527360113
5,1,0,1,2001,0
5,1,0,2,2001,0
